achyranthes 牛膝
adenophora 沙参
agaricus_bisporus 双孢蘑菇
agaricus_blazei_murill 姬松茸
agrimony 龙芽草
agrocybe_aegerita 茶树菇
allium 葱
arrowhead 白茨菰
artemisia_selengensis 水蒿
asparagus 芦笋
asparagus_fern 0
asparagus_lettuce 莴笋
asparagus_pea 四棱豆
azuki_beans 红豆
balsam_pear 苦瓜
bamboo_shoot 竹笋
basella_rubra 落葵
basil 罗勒
bassia_scoparia 细枝雾冰藜
beefsteak_plant 紫苏
beetroot 甜根菜
bird_pepper 野辣椒
black_bean_sprouts 黑豆芽
black_salsify 菊牛蒡
black_soya_bean 黑豆
bolete 牛肝菌
bottle_gourd 葫芦
broad_bean 蚕豆
broccoli 西兰花
brussels_sprouts 孢子甘蓝
bunching_onion 小葱
burclover 苜蓿草
burdock_root 牛蒡根
cape_gooseberry 菇娘
carduus 飞廉
carrot 胡萝卜
cattail 香蒲
celeriac 根芹
celery 芹菜
centella_asiatica 积雪草
chantarelle 鸡油菌
chicory 菊苣
Chinese_artichoke 地笋
Chinese_cabbage 大白菜
Chinese_kale 芥蓝
Chinese_mallow 锦葵
Chinese_pumpkin 中国南瓜
Chinese_yam 山药
chive 欧洲韭菜
chocho 佛手瓜
chrysanthemum 菊花
commelina 鸭跖草
coprinus_comatus 毛头鬼伞
coriander 香菜
corn 玉米
cowpea 豇豆
cress 水芹
cucumber 黄瓜
cudweed 鼠曲草
curly_kale 羽衣甘蓝
cynoglossum_lanceolatum 小花琉璃草
dandelion 蒲公英
day_lily 黄花菜
dictyophora 竹荪
edible_amaranth 苋菜
eggplant 茄子
endive 苦苣
enoki_mushroom 金针菇
equisetum_debile 笔管草
fallopia_multiflora 何首乌
feather_cockscomb 青葙子
fennel 茴香
flower_Chinese_cabbage 菜薹
galinsoga_parviflora 牛膝菊
garlic 大蒜
garlic_chive 韭菜
garlic_sprouts 蒜苔
ginger 姜
globe_artichoke 洋蓟
goji_berry 枸杞
gorgon_fruit_seed 芡实
gourd 瓠子
great_Solomon's-seal 玉竹
green_Chinese_onion 大葱
green_eggplant 绿茄子
green_radish 青萝卜
gynura_bicolor 观音苋
hairy_squash 毛瓜
head_cabbage 结球甘蓝
hen-of-the-woods 0
Herb_of_Ghostplant_Wormwood 鸭脚艾
hericium 猴头菇
horst 0
houttuynia_cordata 鱼腥草
hyacinth_bean 扁豆
hypsizigus_marmoreus 真姬菇
jerusalem_artichoke 菊芋
Jew's-ear 木耳
kalimeris 马兰
kidney_bean 芸豆
kidney_bean_seed 芸豆种子
kohlrabi 球茎甘蓝
konnyaku 魔芋
kudzu 野葛
leaf_lettuce 油麦菜
leek 韭葱
lettuce 生菜
Lily 食用百合
lotus 藕带
lotus_root 藕
lotus_seed 莲子
lotus_seedpod 莲蓬
luffa_acutangula 广东丝瓜
luffa_cylindrica 丝瓜
matsutake 松茸
milk_thistle 水飞蓟
mint 薄荷
mioga_ginger 蘘荷
mitsuba 鸭儿芹
morel 羊肚菌
mung_bean 绿豆
mung_bean_sprouts 绿豆芽
mustard 芥菜
nameko 滑菇
nankimgense 菊花脑
New_Zealand_spinach 番杏
okra 秋葵
onion 洋葱
ostrich_fern 蕨菜
oyster_mushroom 平菇
pakchoi 小白菜
parsley 欧芹
parsnip 欧防风
pea 豌豆
peanut_sprouts 花生芽
pepper 辣椒
pimento 甜椒
platycodon_grandiflorum 桔梗
pleurotus_eryngii 杏鲍菇
pleurotus_nebrodensis 白灵菇
polygonatum_sibiricum 黄精
polygonum_lapathifolium 酸模叶蓼
potato 马铃薯
prickly_lettuce 带刺莴苣
pumpkin 南瓜
purple_cai-tai 紫菜薹
purslane 马齿苋
red_cabbage 紫甘蓝
red_radish 水萝卜
rhubarb 大黄
russula_virescens 绿菇
savoy_caggage 皱叶甘蓝
scallion 芥头
sea_of_nostoc_flagelliforme 海发菜
self-heal 夏枯草
shallot 红葱头
shepherd's_purse 荠菜
shiitake 香菇
sieva_bean 豌豆荚
sieva_bean_seed 豌豆种子
silverweed 蕨麻
snake_gourd 蛇瓜
sorrel 酢浆草
soybean 毛豆
soybean_seed 黄豆
soybean_sprouts 黄豆芽
spinach 菠菜
sprouting_broccoli 花椰菜
strawberry 草莓
straw_mushroom 草菇
sweet_potato 红薯
swiss_chard 瑞士甜菜
sword_bean 刀豆
taro 芋头
termite_mushroom 鸡枞
thorny_amaranth 刺苋
tomato 西红柿
toon 香椿芽
tremella_fuciformis 银耳
tricholoma_flavovirens 口蘑
turnip_cabbage 擘蓝
vetch 巢菜
viola_philippica 紫花地丁
wasabi 山葵
water_caltrop 菱角
water_chestnuts 荸荠
watercress 西洋菜
watermelon 西瓜
water_shield 莼菜
water_spinach 空心菜
wax_gourd 冬瓜
white_eggplant 白茄子
white_radish 白萝卜
wild_amaranth 野苋菜
wild_chrysanthemum 野菊花
Wuta-tsai 乌塌菜
yam_bean 地瓜
zha-tsai 榨菜
zizania_aquatica 茭白
zucchini 西葫芦
